CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
"Aberdeen, SD",10100,2024,174,164,10,0,0,0,0,76,42,19,0,0,0,112,62
"Aberdeen, WA",10140,2024,182,180,2,0,0,0,0,64,27,18,0,0,0,182,0
"Ada, OK",10220,2024,290,208,81,1,0,0,0,101,63,43,0,0,184,105,1
"Adrian, MI",10300,2024,182,121,61,0,0,0,0,87,62,44,0,0,94,88,0
"Akron, OH",10420,2024,249,152,95,2,0,0,0,108,80,47,0,0,157,92,0
"Albany, GA",10500,2024,268,164,100,4,0,0,0,121,63,46,0,0,0,268,0
"Albany, OR",10540,2024,182,170,12,0,0,0,0,64,44,24,0,0,0,182,0
"Albany-Schenectady-Troy, NY",10580,2024,274,203,71,0,0,0,0,100,62,39,0,0,164,110,0
"Albuquerque, NM",10740,2024,275,83,163,25,1,1,2,443,101,61,1,2,197,44,31
"Alexandria, LA",10780,2024,60,48,11,1,0,0,0,102,57,37,0,0,0,60,0
"Allentown-Bethlehem-Easton, PA-NJ",10900,2024,182,128,52,2,0,0,0,108,64,41,0,8,104,70,0
"Altoona, PA",11020,2024,182,159,23,0,0,0,0,74,54,36,0,0,113,69,0
"Amarillo, TX",11100,2024,243,169,71,3,0,0,0,138,77,46,0,0,218,25,0
"Americus, GA",11140,2024,184,169,15,0,0,0,0,84,50,39,0,0,184,0,0
"Anchorage, AK",11260,2024,183,138,45,0,0,0,0,80,63,27,5,0,0,116,62
"Ann Arbor, MI",11460,2024,244,183,61,0,0,0,0,87,62,42,0,0,172,72,0
"Appleton, WI",11540,2024,182,150,32,0,0,0,0,99,58,38,0,0,91,91,0
"Ardmore, OK",11620,2024,274,152,112,10,0,0,0,140,74,49,0,0,141,133,0
"Arkadelphia, AR",11660,2024,238,223,15,0,0,0,0,67,48,36,0,0,238,0,0
"Asheville, NC",11700,2024,274,186,87,1,0,0,0,101,64,46,0,0,187,87,0
"Athens, OH",11900,2024,272,247,25,0,0,0,0,64,49,28,0,0,0,272,0
"Athens, TN",11940,2024,174,129,45,0,0,0,0,89,55,34,0,0,0,174,0
"Athens-Clarke County, GA",12020,2024,272,170,100,2,0,0,0,126,63,45,0,0,90,182,0
"Atlanta-Sandy Springs-Roswell, GA",12060,2024,306,109,183,13,1,0,0,161,84,55,1,3,123,179,0
"Atlantic City-Hammonton, NJ",12100,2024,182,160,22,0,0,0,0,66,52,33,0,0,99,83,0
"Augusta-Richmond County, GA-SC",12260,2024,274,134,139,1,0,0,0,105,67,51,0,0,91,183,0
"Augusta-Waterville, ME",12300,2024,305,254,51,0,0,0,0,77,53,36,0,0,139,166,0
"Austin-Round Rock, TX",12420,2024,183,61,120,2,0,0,0,123,77,54,1,0,42,138,2
"Bakersfield, CA",12540,2024,274,74,184,15,1,0,0,156,91,61,0,0,120,105,49
"Baltimore-Columbia-Towson, MD",12580,2024,305,184,110,10,1,0,0,154,80,46,0,2,220,83,0
"Bangor, ME",12620,2024,271,245,26,0,0,0,0,74,49,35,0,0,185,83,3
"Baraboo, WI",12660,2024,182,157,25,0,0,0,0,66,53,38,0,0,89,93,0
"Barnstable Town, MA",12700,2024,235,217,17,1,0,0,0,101,48,38,0,0,233,2,0
"Bartlesville, OK",12780,2024,243,132,105,5,1,0,0,156,72,49,0,0,145,98,0
"Baton Rouge, LA",12940,2024,305,109,182,12,2,0,0,159,87,54,0,0,114,191,0
"Bay City, MI",13020,2024,271,203,68,0,0,0,0,73,56,39,0,0,0,271,0
"Beatrice, NE",13100,2024,249,176,73,0,0,0,0,70,57,37,0,0,0,249,0
"Beaumont-Port Arthur, TX",13140,2024,182,77,101,4,0,0,0,143,67,52,0,0,54,128,0
"Beaver Dam, WI",13180,2024,183,153,30,0,0,0,0,84,53,39,1,0,145,37,0
"Bellingham, WA",13380,2024,208,204,4,0,0,0,0,61,44,32,0,0,69,139,0
"Bemidji, MN",13420,2024,182,172,9,0,1,0,0,177,46,36,0,0,114,68,0
"Bend-Redmond, OR",13460,2024,267,201,53,7,6,0,0,176,75,36,0,0,51,216,0
"Bennington, VT",13540,2024,182,169,13,0,0,0,0,80,48,38,0,0,156,26,0
"Billings, MT",13740,2024,175,158,17,0,0,0,0,64,50,38,0,4,125,46,0
"Birmingham-Hoover, AL",13820,2024,175,157,18,0,0,0,0,97,51,39,0,0,153,22,0
"Bishop, CA",13860,2024,272,93,162,10,2,1,4,1322,88,59,0,0,159,57,56
"Bismarck, ND",13900,2024,275,189,75,9,2,0,0,174,68,43,1,1,156,113,4
"Blacksburg-Christiansburg-Radford, VA",13980,2024,233,210,23,0,0,0,0,80,50,41,0,0,233,0,0
"Bloomington, IL",14010,2024,274,186,87,1,0,0,0,112,61,44,0,0,160,114,0
"Bloomington, IN",14020,2024,274,191,83,0,0,0,0,97,58,43,0,0,149,125,0
"Boise City, ID",14260,2024,183,115,63,3,2,0,0,157,64,47,1,3,101,76,2
"Boston-Cambridge-Newton, MA-NH",14460,2024,255,182,72,1,0,0,0,122,65,44,1,2,158,92,2
"Boulder, CO",14500,2024,274,165,99,9,1,0,0,154,80,48,0,0,169,95,10
"Bowling Green, KY",14540,2024,243,198,45,0,0,0,0,87,55,42,0,0,175,68,0
"Bozeman, MT",14580,2024,245,212,33,0,0,0,0,84,55,22,10,8,0,227,0
"Brainerd, MN",14660,2024,182,158,23,0,1,0,0,164,54,38,0,0,115,67,0
"Branson, MO",14700,2024,20,17,3,0,0,0,0,67,53,20,0,0,0,20,0
"Bremerton-Silverdale, WA",14740,2024,200,196,4,0,0,0,0,69,36,18,0,0,0,200,0
"Bridgeport-Stamford-Norwalk, CT",14860,2024,182,132,39,8,3,0,0,154,71,42,0,11,107,64,0
"Brookings, SD",15100,2024,182,168,14,0,0,0,0,94,46,32,0,0,139,30,13
"Brownsville-Harlingen, TX",15180,2024,182,32,94,44,12,0,0,171,138,72,0,0,26,156,0
"Brunswick, GA",15260,2024,274,225,49,0,0,0,0,84,55,38,0,0,98,176,0
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2024,304,206,97,1,0,0,0,105,61,43,0,5,147,151,1
"Burlington-South Burlington, VT",15540,2024,183,163,20,0,0,0,0,84,52,39,1,0,144,38,0
"Butte-Silver Bow, MT",15580,2024,182,150,32,0,0,0,0,95,56,26,0,0,0,167,15
"Cadillac, MI",15620,2024,274,242,32,0,0,0,0,84,52,38,0,0,241,33,0
