CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"Aberdeen, SD",10100,2024,174,164,10,0,0,0,0,76,42,19,0,0,0,112,62,"Aberdeen, SD Micro Area",70761,0.4395,4246,746,7601,208200,41459,17953,42112,10100,10100
"Aberdeen, WA",10140,2024,182,180,2,0,0,0,0,64,27,18,0,0,0,182,0,"Aberdeen, WA Micro Area",63539,0.435,10358,2115,15251,279500,73745,29982,76397,10140,10140
"Ada, OK",10220,2024,290,208,81,1,0,0,0,101,63,43,0,0,184,105,1,"Ada, OK Micro Area",62564,0.4287,4641,640,6893,170500,37528,14974,38158,10220,10220
"Adrian, MI",10300,2024,182,121,61,0,0,0,0,87,62,44,0,0,94,88,0,"Adrian, MI Micro Area",67013,0.4173,10915,2511,21245,181100,95803,38807,98823,10300,10300
"Akron, OH",10420,2024,249,152,95,2,0,0,0,108,80,47,0,0,157,92,0,"Akron, OH Metro Area",71312,0.4741,84493,19495,135728,199000,692907,294063,699508,10420,10420
"Albany, GA",10500,2024,268,164,100,4,0,0,0,121,63,46,0,0,0,268,0,"Albany, GA Metro Area",54219,0.4701,30445,5395,25538,148800,143420,57471,146768,10500,10500
"Albany, OR",10540,2024,182,170,12,0,0,0,0,64,44,24,0,0,0,182,0,"Albany, OR Metro Area",73396,0.404,16414,3705,20708,344600,128901,50534,129794,10540,10540
"Albany-Schenectady-Troy, NY",10580,2024,274,203,71,0,0,0,0,100,62,39,0,0,164,110,0,"Albany-Schenectady-Troy, NY Metro Area",86072,0.4442,95090,23096,125850,268400,894159,377559,902372,10580,10580
"Albuquerque, NM",10740,2024,275,83,163,25,1,1,2,443,101,61,1,2,197,44,31,"Albuquerque, NM Metro Area",67995,0.4648,137328,24836,123792,263500,908245,371906,918567,10740,10740
"Alexandria, LA",10780,2024,60,48,11,1,0,0,0,102,57,37,0,0,0,60,0,"Alexandria, LA Metro Area",56492,0.4751,26782,3186,31408,173600,144794,55855,150593,10780,10780
"Allentown-Bethlehem-Easton, PA-NJ",10900,2024,182,128,52,2,0,0,0,108,64,41,0,8,104,70,0,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",82602,0.4493,86504,24321,180144,277800,857693,336977,866764,10900,10900
"Altoona, PA",11020,2024,182,159,23,0,0,0,0,74,54,36,0,0,113,69,0,"Altoona, PA Metro Area",60594,0.4438,15388,2628,35265,156700,120052,50548,121854,11020,11020
"Amarillo, TX",11100,2024,243,169,71,3,0,0,0,138,77,46,0,0,218,25,0,"Amarillo, TX Metro Area",66571,0.4649,37238,4289,37443,196500,262296,101808,270207,11100,11100
"Americus, GA",11140,2024,184,169,15,0,0,0,0,84,50,39,0,0,184,0,0,"Americus, GA Micro Area",42821,0.469,6810,723,6081,126500,32976,12475,33713,11140,11140
"Anchorage, AK",11260,2024,183,138,45,0,0,0,0,80,63,27,5,0,0,116,62,"Anchorage, AK Metro Area",95918,0.4302,37337,9835,58226,358900,383971,147550,399746,11260,11260
"Ann Arbor, MI",11460,2024,244,183,61,0,0,0,0,87,62,42,0,0,172,72,0,"Ann Arbor, MI Metro Area",87156,0.4869,48323,8556,27882,353000,363151,149256,368394,11460,11460
"Appleton, WI",11540,2024,182,150,32,0,0,0,0,99,58,38,0,0,91,91,0,"Appleton, WI Metro Area",83919,0.4352,15032,3791,47199,246000,242619,98214,244163,11540,11540
"Ardmore, OK",11620,2024,274,152,112,10,0,0,0,140,74,49,0,0,141,133,0,"Ardmore, OK Micro Area",58856,0.4578,7150,869,9763,153500,47571,18887,48255,11620,11620
"Arkadelphia, AR",11660,2024,238,223,15,0,0,0,0,67,48,36,0,0,238,0,0,"Arkadelphia, AR Micro Area",50985,0.4544,3810,447,3519,147100,21129,8147,21378,11660,11660
"Asheville, NC",11700,2024,274,186,87,1,0,0,0,101,64,46,0,0,187,87,0,"Asheville, NC Metro Area",69236,0.4684,47116,6903,60410,338400,405635,161494,410817,11700,11700
"Athens, OH",11900,2024,272,247,25,0,0,0,0,64,49,28,0,0,0,272,0,"Athens, OH Micro Area",53837,0.4906,11914,1750,9567,173800,60984,22722,61573,11900,11900
"Athens, TN",11940,2024,174,129,45,0,0,0,0,89,55,34,0,0,0,174,0,"Athens, TN Micro Area",59361,0.439,8864,1650,14869,189200,66385,26750,67211,11940,11940
"Athens-Clarke County, GA",12020,2024,272,170,100,2,0,0,0,126,63,45,0,0,90,182,0,"Athens-Clarke County, GA Metro Area",62897,0.506,40761,5045,23652,280900,216681,85019,218190,12020,12020
"Atlanta-Sandy Springs-Roswell, GA",12060,2024,306,109,183,13,1,0,0,161,84,55,1,3,123,179,0,"Atlanta-Sandy Springs-Roswell, GA Metro Area",86338,0.4677,666265,163200,808480,335100,6128890,2280747,6176937,12060,12060
"Atlantic City-Hammonton, NJ",12100,2024,182,160,22,0,0,0,0,66,52,33,0,0,99,83,0,"Atlantic City-Hammonton, NJ Metro Area",80600,0.4732,43416,14284,76100,302600,365856,153081,369940,12100,12100
"Augusta-Richmond County, GA-SC",12260,2024,274,134,139,1,0,0,0,105,67,51,0,0,91,183,0,"Augusta-Richmond County, GA-SC Metro Area",66628,0.4659,89763,17474,102170,207300,597693,225591,618022,12260,12260
"Augusta-Waterville, ME",12300,2024,305,254,51,0,0,0,0,77,53,36,0,0,139,166,0,"Augusta-Waterville, ME Micro Area",65062,0.4379,14969,2566,26057,219900,123806,53936,125614,12300,12300
