CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code,Percentage of People in Poverty,Percentage of Unemployed People,Percentage of People with Health Insurance Coverage,Percentage of People With Educational Attainment (HS+),Percentage of People With Internet Access
"Aberdeen, SD",10100,2024,174,164,10,0,0,0,0,76,42,19,0,0,0,112,62,"Aberdeen, SD Micro Area",70761,0.4395,42112,10100,10100,0.10082636778115502,0.01771466565349544,0.9844937310030395,0.1804948708206687,0.4263155395136778
"Aberdeen, WA",10140,2024,182,180,2,0,0,0,0,64,27,18,0,0,0,182,0,"Aberdeen, WA Micro Area",63539,0.435,76397,10140,10140,0.13558124010105108,0.027684333154443238,0.9652865950233648,0.19962825765409636,0.39244996531277404
"Ada, OK",10220,2024,290,208,81,1,0,0,0,101,63,43,0,0,184,105,1,"Ada, OK Micro Area",62564,0.4287,38158,10220,10220,0.12162587137690654,0.01677236752450338,0.983489700718067,0.18064363960375282,0.39242098642486506
"Adrian, MI",10300,2024,182,121,61,0,0,0,0,87,62,44,0,0,94,88,0,"Adrian, MI Micro Area",67013,0.4173,98823,10300,10300,0.11044999645831435,0.02540906469141799,0.9694403124778644,0.21498031834694353,0.3926919846594416
"Akron, OH",10420,2024,249,152,95,2,0,0,0,108,80,47,0,0,157,92,0,"Akron, OH Metro Area",71312,0.4741,699508,10420,10420,0.12078918325451603,0.02786958833923272,0.9905633673953693,0.19403352070312277,0.4203854709309972
"Albany, GA",10500,2024,268,164,100,4,0,0,0,121,63,46,0,0,0,268,0,"Albany, GA Metro Area",54219,0.4701,146768,10500,10500,0.2074362258803009,0.03675869399324103,0.9771884879537774,0.17400250735855227,0.3915771830371743
"Albany, OR",10540,2024,182,170,12,0,0,0,0,64,44,24,0,0,0,182,0,"Albany, OR Metro Area",73396,0.404,129794,10540,10540,0.12646193198452932,0.02854523321571105,0.9931198668659568,0.15954512535248164,0.3893400311262462
"Albany-Schenectady-Troy, NY",10580,2024,274,203,71,0,0,0,0,100,62,39,0,0,164,110,0,"Albany-Schenectady-Troy, NY Metro Area",86072,0.4442,902372,10580,10580,0.10537782643965017,0.025594765795037968,0.9908984321322026,0.13946576356535886,0.4184072644098
"Albuquerque, NM",10740,2024,275,83,163,25,1,1,2,443,101,61,1,2,197,44,31,"Albuquerque, NM Metro Area",67995,0.4648,918567,10740,10740,0.1495024315047242,0.027037766434021688,0.9887629318275096,0.13476643511034034,0.40487629100544653
"Alexandria, LA",10780,2024,60,48,11,1,0,0,0,102,57,37,0,0,0,60,0,"Alexandria, LA Metro Area",56492,0.4751,150593,10780,10780,0.17784359166760738,0.021156361849488357,0.9614922340347825,0.20856215096319217,0.37090037385535846
