Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"Aberdeen, SD Micro Area",70761,0.4395,4246,746,7601,208200,41459,17953,42112,10100,10100
"Aberdeen, WA Micro Area",63539,0.435,10358,2115,15251,279500,73745,29982,76397,10140,10140
"Ada, OK Micro Area",62564,0.4287,4641,640,6893,170500,37528,14974,38158,10220,10220
"Adrian, MI Micro Area",67013,0.4173,10915,2511,21245,181100,95803,38807,98823,10300,10300
"Akron, OH Metro Area",71312,0.4741,84493,19495,135728,199000,692907,294063,699508,10420,10420
"Albany, GA Metro Area",54219,0.4701,30445,5395,25538,148800,143420,57471,146768,10500,10500
"Albany, OR Metro Area",73396,0.404,16414,3705,20708,344600,128901,50534,129794,10540,10540
"Albany-Schenectady-Troy, NY Metro Area",86072,0.4442,95090,23096,125850,268400,894159,377559,902372,10580,10580
"Albuquerque, NM Metro Area",67995,0.4648,137328,24836,123792,263500,908245,371906,918567,10740,10740
"Alexandria, LA Metro Area",56492,0.4751,26782,3186,31408,173600,144794,55855,150593,10780,10780
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",82602,0.4493,86504,24321,180144,277800,857693,336977,866764,10900,10900
"Altoona, PA Metro Area",60594,0.4438,15388,2628,35265,156700,120052,50548,121854,11020,11020
"Amarillo, TX Metro Area",66571,0.4649,37238,4289,37443,196500,262296,101808,270207,11100,11100
"Americus, GA Micro Area",42821,0.469,6810,723,6081,126500,32976,12475,33713,11140,11140
"Anchorage, AK Metro Area",95918,0.4302,37337,9835,58226,358900,383971,147550,399746,11260,11260
"Ann Arbor, MI Metro Area",87156,0.4869,48323,8556,27882,353000,363151,149256,368394,11460,11460
"Appleton, WI Metro Area",83919,0.4352,15032,3791,47199,246000,242619,98214,244163,11540,11540
"Ardmore, OK Micro Area",58856,0.4578,7150,869,9763,153500,47571,18887,48255,11620,11620
"Arkadelphia, AR Micro Area",50985,0.4544,3810,447,3519,147100,21129,8147,21378,11660,11660
"Asheville, NC Metro Area",69236,0.4684,47116,6903,60410,338400,405635,161494,410817,11700,11700
"Athens, OH Micro Area",53837,0.4906,11914,1750,9567,173800,60984,22722,61573,11900,11900
"Athens, TN Micro Area",59361,0.439,8864,1650,14869,189200,66385,26750,67211,11940,11940
"Athens-Clarke County, GA Metro Area",62897,0.506,40761,5045,23652,280900,216681,85019,218190,12020,12020
"Atlanta-Sandy Springs-Roswell, GA Metro Area",86338,0.4677,666265,163200,808480,335100,6128890,2280747,6176937,12060,12060
"Atlantic City-Hammonton, NJ Metro Area",80600,0.4732,43416,14284,76100,302600,365856,153081,369940,12100,12100
"Augusta-Richmond County, GA-SC Metro Area",66628,0.4659,89763,17474,102170,207300,597693,225591,618022,12260,12260
"Augusta-Waterville, ME Micro Area",65062,0.4379,14969,2566,26057,219900,123806,53936,125614,12300,12300
"Austin-Round Rock-San Marcos, TX Metro Area",97638,0.4607,229864,57495,228361,434800,2338888,948649,2357497,12420,12420
"Bakersfield-Delano, CA Metro Area",67660,0.4645,168825,33049,135178,310600,888229,281416,910433,12540,12540
"Baltimore-Columbia-Towson, MD Metro Area",97300,0.461,274570,70197,403649,373300,2796834,1107822,2839409,12580,12580
"Bangor, ME Metro Area",63248,0.4541,19846,3175,30108,193800,151601,64769,153571,12620,12620
"Baraboo, WI Micro Area",77648,0.4094,5690,929,13250,242400,65188,27425,65759,12660,12660
"Barnstable Town, MA Metro Area",94452,0.4749,16909,5492,34378,575900,227536,102981,230073,12700,12700
"Bartlesville, OK Micro Area",61205,0.4709,7541,924,9940,160900,52352,20596,52895,12780,12780
"Baton Rouge, LA Metro Area",68910,0.477,135250,28116,146974,232300,854894,326145,871379,12940,12940
"Bay City, MI Metro Area",60523,0.4352,14358,2304,22647,135100,102477,44917,103235,13020,13020
"Beatrice, NE Micro Area",64426,0.4306,2806,162,4762,167100,21384,9162,21646,13100,13100
"Beaumont-Port Arthur, TX Metro Area",65245,0.4626,62376,9982,76067,164300,381303,147243,396058,13140,13140
"Beaver Dam, WI Micro Area",73992,0.3847,6621,1881,23044,218400,84766,35723,88818,13180,13180
"Bellingham, WA Metro Area",80989,0.4524,28364,6050,28320,536100,226816,92411,228432,13380,13380
"Bemidji, MN Micro Area",67257,0.4409,7084,1176,6247,222300,45774,17908,46421,13420,13420
"Bend, OR Metro Area",85509,0.4573,24079,6481,32927,550400,251834,102503,253650,13460,13460
"Bennington, VT Micro Area",71494,0.4968,4128,778,6419,257400,36698,14636,37312,13540,13540
"Billings, MT Metro Area",74599,0.4588,18386,3439,31998,322700,184927,77857,187269,13740,13740
"Birmingham, AL Metro Area",69627,0.4868,162162,25868,188098,226200,1166828,460747,1181432,13820,13820
"Bishop, CA Micro Area",72432,0.439,1928,240,3066,338400,18442,7923,18803,13860,13860
"Bismarck, ND Metro Area",83982,0.4415,10184,1856,18326,295500,131397,54617,134286,13900,13900
"Blacksburg-Christiansburg-Radford, VA Metro Area",64627,0.4841,33063,3283,28101,228400,179402,70035,181605,13980,13980
"Bloomington, IL Metro Area",78329,0.4769,21011,2691,20725,198300,169850,69072,170882,14010,14010
"Bloomington, IN Metro Area",62949,0.4827,27760,4575,19353,242800,159951,66862,161256,14020,14020
"Boise City, ID Metro Area",82694,0.4419,70631,12839,99736,434400,779123,294742,790640,14260,14260
"Boston-Cambridge-Newton, MA-NH Metro Area",112484,0.4836,424129,135677,638160,610900,4875040,1925474,4917661,14460,14460
"Boulder, CO Metro Area",102772,0.4898,36145,8593,20037,713900,326101,135230,328317,14500,14500
"Bowling Green, KY Metro Area",62437,0.4726,29478,4594,29818,219400,181539,71576,183194,14540,14540
"Bozeman, MT Metro Area",87454,0.4724,12025,1689,12466,604900,121704,50031,122194,14580,14580
"Brainerd, MN Micro Area",69311,0.4322,10251,2535,18212,270500,96731,41546,97801,14660,14660
"Branson, MO Micro Area",58258,0.465,7870,1228,10469,203800,55949,22145,56382,14700,14700
"Bremerton-Silverdale-Port Orchard, WA Metro Area",98546,0.4306,22299,6125,34693,505700,261537,107264,276581,14740,14740
"Bridgeport-Stamford-Danbury, CT Metro Area",111656,0.5442,87468,31665,116735,530800,941099,350614,947528,14860,14860
"Brookings, SD Micro Area",67341,0.4122,4078,714,3956,246300,34733,13490,34968,15100,15100
"Brownsville-Harlingen, TX Metro Area",51334,0.469,102583,10484,54013,120000,421086,135435,423192,15180,15180
